Time, RES, VIRT, CPU
2022-03-05 00:11:45.576480, 3800000000, 4555664, 1040.0
2022-03-05 00:11:46.582929, 3800000000, 4521868, 100.0
2022-03-05 00:11:47.592013, 3700000000, 4488072, 1580.0
2022-03-05 00:11:48.575317, 3700000000, 4488072, 1427.0
2022-03-05 00:11:49.582473, 3800000000, 4488072, 1425.0
2022-03-05 00:11:50.575585, 3800000000, 4488072, 1633.0
2022-03-05 00:11:51.580204, 3700000000, 4488072, 1413.0
2022-03-05 00:11:52.592893, 3700000000, 4519816, 1293.0
2022-03-05 00:11:53.577242, 3700000000, 4602256, 1280.0
2022-03-05 00:11:54.575564, 3800000000, 4807308, 2333.0
2022-03-05 00:11:55.615738, 3900000000, 4760720, 2360.0
2022-03-05 00:11:56.595805, 3900000000, 4743820, 2287.0
2022-03-05 00:11:57.599895, 3900000000, 4743820, 2220.0
2022-03-05 00:11:58.575353, 3900000000, 4841100, 2287.0
2022-03-05 00:11:59.596180, 3900000000, 4872840, 2180.0
2022-03-05 00:12:00.611136, 3900000000, 4857996, 2200.0
2022-03-05 00:12:01.602020, 3900000000, 4889736, 2333.0
2022-03-05 00:12:02.624228, 3900000000, 4889736, 2273.0
2022-03-05 00:12:03.627298, 3900000000, 4857996, 2213.0
2022-03-05 00:12:04.644455, 3900000000, 4758664, 2413.0
2022-03-05 00:12:05.591370, 3900000000, 4693128, 2247.0
2022-03-05 00:12:06.582030, 3900000000, 4726924, 2220.0
2022-03-05 00:12:07.583410, 3900000000, 4661388, 2360.0
2022-03-05 00:12:08.624522, 3900000000, 4693128, 2180.0
2022-03-05 00:12:09.595825, 3900000000, 4693128, 2160.0
2022-03-05 00:12:10.575588, 3900000000, 4726924, 340.0
2022-03-05 00:12:11.575373, 3900000000, 4693128, 100.0
2022-03-05 00:12:12.595910, 3900000000, 4726924, 100.0
2022-03-05 00:12:13.581134, 3900000000, 4693128, 826.7
2022-03-05 00:12:14.607855, 3900000000, 4693128, 1100.0
2022-03-05 00:12:15.595786, 3900000000, 4693128, 1000.0
2022-03-05 00:12:16.595498, 3900000000, 4693128, 1227.0
2022-03-05 00:12:17.599613, 3900000000, 4693128, 1053.0
2022-03-05 00:12:18.575613, 3900000000, 4758664, 906.7
2022-03-05 00:12:19.599435, 3800000000, 4771464, 873.3
